cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2045,604698452963.5247,471524771148.1173,368582374441.9607,288807348859.2888,226832550003.5964,178569129201.4775,140893911408.32538,111415192607.49997,88296801205.81381,70125570753.41682
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2050,710856861040.5791,527400996472.22266,392443379212.14197,292863614659.75714,219170440515.79816,164476246867.08087,123767381134.4978,93383216544.46158,70643058674.93744,53578089241.04291
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2020,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851,750084908694.3851
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2025,705146331556.1074,670922539217.4081,638672757928.9076,608265419876.5664,579578884137.882,552500601963.4537,526926359321.8197,502759588913.11304,479910744707.0783,458296732811.4535
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2030,871258363002.6368,788738830193.4509,714735316841.2239,648298046213.1439,588590931834.4023,534877056305.54456,486506119244.2882,442903572098.84326,403561200182.1433,368028948130.5608
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2035,961805541504.802,828450698062.1858,714635684722.6517,617346377887.2266,534056475710.53595,462644910502.45386,401327847691.78064,348602590188.37964,303201218749.6148,264052209488.83084
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2040,934606113402.1477,765951272182.1614,628963122067.1836,517468744705.093,426542029996.66473,352243214770.0802,291414603935.4214,241519979849.12823,200518066259.3031,166762600410.2915
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2045,893066602112.4635,696385153818.9845,544351663425.342,426533582890.4988,335004287984.2405,263725042914.51276,208083295240.97113,164546786911.8024,130403714188.1564,103567000853.1157
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,2050,822262631959.552,610055491090.751,453947262200.87177,338761317212.0362,253518919410.0879,190253029907.85178,143164254493.4003,108018271504.47166,81714267019.51917,61974868766.42641
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2020,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656,750084669918.9656
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2025,705146473379.2825,670922674157.2928,638672886382.5267,608265542214.483,579579000706.1938,552500713085.6223,526926465300.3463,502759690031.0768,479910841229.5482,458296824986.78625
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2030,671203197428.8511,607631498580.5579,550620401881.5261,499438214866.0332,453440830184.24023,412060538720.5065,374796359692.99713,341205670291.5155,310896950230.6624,283523484216.8873
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2035,643509821867.2474,554286847112.2572,478137276539.6528,413044467432.62616,357318161230.2252,309539227107.62036,268514164905.35385,233237573536.54758,202861133407.7272,176667926061.18738
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2040,625234923569.6544,512407824273.27185,420765180020.3847,346177417851.0636,285349057426.3529,235644467018.30698,194951204583.27786,161572585473.27533,134143032058.2816,111561223735.48111
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2045,607317998094.8779,473567409776.54456,370179068066.2626,290058458202.9554,227815185396.62958,179342688139.35352,141504261836.47382,111897841643.43419,88679301697.71883,70429353732.43755
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,2050,710019416932.4457,526779677496.03265,391981050698.8938,292518598775.3716,218912240863.87625,164282481185.9491,123621573631.20035,93273203926.198,70559835713.31158,53514970127.16916
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,cumulative cost,25504838248559.79,21906073911911.14,18978776823416.523,16581411312061.762,14604816747806.234,12964336871249.629,11593958043582.143,10441922309458.459,9467428267674.656,8638138046555.111
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,cumulative cost,18976887484233.535,16438567238986.01,14374457605339.227,12683450917348.691,11287892498857.701,10127799164993.775,9156572736044.848,8337806327029.753,7642893160862.314,7049227504902.241
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,cumulative cost,25570216449955.58,21967076932437.098,19035820675017.24,16634883949451.498,14655073432459.43,13011698955853.824,11638713796428.592,10484328882819.459,9507714237064.562,8676506161877.986
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,cumulative cost,19413391719866.19,16818964738820.156,14708177637365.428,12978081602305.084,11549578928083.162,10361548705073.24,9366490471003.008,8527277633227.234,7814726063917.322,7205764281126.291
